,major_ISCO,major_jobs,openings,sub_major_ISCO,unit_group_ISCO,careers_in_major
8,33,BUSINESS AND ADMINISTRATION ASSOCIATE PROFESSIONALS,31512.208,"['331', '332', '333', '334']","{'331': ['3311', '3312', '3313', '3314'], '332': ['3321', '3322', '3323', '3324'], '333': ['3331', '3332', '3333', '3334', '3339'], '334': ['3341', '3342', '3343', '3344']}","['Currency broker', 'Exchange broker', 'Institutional broker', 'Money broker', 'Options broker', 'Securities broker', 'Stockbroker', 'Stock exchange agent', 'Stock exchange broker', 'Advertising assistant (Finance and sales professionals)', 'Bids clerk', 'Bids engineer', 'Bids manager', 'Business adviser; shop', 'Car service manager', 'Company adviser', 'Company economic adviser', 'Cost estimator', 'Credit adviser', 'Credit clerk', 'Credit investigator', 'Credit manager', 'Credit officer', 'Credit rating officer', 'Credit supervisor', 'Customer attendant (garage)', 'Department head (bank)', 'Estimating clerk', 'Estimating engineer', 'Estimating manager', 'Estimating officer', 'Group director (bank)', 'Loans controller', 'Loans manager', 'Market assistant', 'Order clerk', 'Order distributor', 'Order engineer', 'Order manager', 'Order planner', 'Pricing officer', 'Print shop supervisor', 'Private economic adviser', 'Production supervisor (printing)', 'Purchasing supervisor (printing)', 'Quantity surveyor (construction)', 'Service adviser (garage)', 'Service manager (garage)', 'Shop adviser', 'Shop supervisor (garage)', 'Supervisor (garage)', 'Tenderer', 'Trust manager (bank)', 'Trust officer (bank)', 'Account examiner', 'Accounting assistant', 'Audit assistant', ""Auditor's assistant"", 'Bookkeeper', 'Checking clerk', 'Chief accountant (bookkeepers; statistical; mathematical and related professionals)', 'Farm accountant', 'Ledger clerk', 'Machine accountant', 'Statistics clerk', 'Boat damages inspector', 'Civil claims adjuster', 'Civil damages inspector', 'Claims adjuster', 'Claims inspector (insurance)', 'Customer clerk (insurance)', 'Damages engineer (insurance)', 'Damages inspector (insurance)', 'Damages technician', 'Field claims adjuster', 'Field officer (insurance)', 'Fire claims adjuster', 'Inspection engineer (insurance)', 'Inspector (insurance)', 'Insurance adviser', 'Insurance agent', 'Insurance broker', 'Insurance clerk', 'Insurance consultant', 'Insurance expert', 'Insurance investigator', 'Insurance officer', 'Insurance seller', 'Marine surveyor', 'Motor claims adjuster', 'Personal claims adjuster', 'Rate setter', 'Risk engineer', 'Risk evaluator', 'Spare time insurance agent', 'Underwriter', ""Underwriter's assistant"", 'Vehicle damage inspector (insurance)', 'Advertising seller (Technical and commercial sales representatives)', 'Agent (retail)', 'Agent (service company)', 'Canvasser', 'Export adviser', 'Export salesperson', 'Export seller', 'Field sales representative', 'Head seller', 'In-house salesperson', 'Sales adviser', 'Buyer', 'Buying supervisor', 'Purchasing engineer', 'Purchasing planner', 'Purchasing technician', 'Regrater', 'Commercial agent; wholesale', 'Wholesale agent', 'Airfreight agent', 'Customs clearance officer', 'Customs clerk', 'Customs manifest draftsman', 'Customs representative', 'Export forwarder', 'Forwarding agent', 'Forwarding clerk (clearing and forwarding agents)', 'Forwarding supervisor', 'Import forwarder', ""Ship's agent"", 'Shipping agent (clearing and forwarding agents)', 'Conference manager', 'Employment officer', 'Area administrator', ""Broker's assistant"", 'Estate director', 'Estate manager', 'Housing administrator', 'Housing agent', 'Housing inspector', 'Housing manager', 'Leasing manager', 'Letting agent', 'Operations manager (property)', 'Real estate administrator', 'Real estate agent', 'Real estate assistant', 'Real estate book-keeper', 'Real estate broker', 'Real estate inspector', 'Real estate manager', 'Real estate secretary', 'Rent adviser', 'Rent inspector', 'Rent supervisor', 'Advertising seller (door-to-door and telephone salespersons; shop sales persons and demonstrators)', 'Agent (music)', 'Aircraft broker', ""Artists' agent"", ""Artists' booking agent"", 'Auction assistant', 'Auctioneer', ""Auctioneer's assistant"", 'Booking agent', 'Business administrator', 'Charterer', 'Chief auctioneer', 'Distribution supervisor', 'Literary agent', 'Manager', 'Patent consultant', 'Quality auditor', 'Quality coordination adviser', 'Ship-broker', 'Shipping agent (business services agents and trade brokers)', 'Shipping company agent', 'Shipping master', 'Shipping planner', 'Sports agent', 'Transport administrator', 'Transport adviser', 'Transport coordinator', 'Transport engineer', 'Transport planner', 'Chief clerk', 'Office manager (medical care)', 'Office manager (public administration)', 'Office manager (warehouse)', 'Legal secretary', 'Adman', 'Administrative assistant', 'Admissions secretary (education)', 'Association secretary (interest group society)', 'Continuing training secretary', 'Course administrator', 'Cultural secretary', 'Division secretary', 'Educational administrator', 'Educational assistant', 'Educational secretary', 'Executive secretary', 'Institutional secretary', 'Management secretary', ""Managing director's secretary"", 'Municipal clerk', 'Municipal officer', 'Population registry assistant', 'Programme secretary', 'Research commission secretary', ""Restaurant manager's assistant"", 'Sales operations secretary', 'Sales secretary', 'School secretary', 'Study administrator', 'Study adviser (administrative secretaries and related associate professionals)', 'Study assistant', 'Study secretary', 'Trade secretary', 'Trade union secretary', 'Clinical assistant', 'Clinical secretary', 'Medical secretary']"
14,52,SALES WORKERS,29380.029,"['521', '522', '523', '524']","{'521': ['5211', '5212'], '522': ['5221', '5222', '5223'], '523': ['5230'], '524': ['5241', '5242', '5243', '5244', '5245', '5246']}","['Kiosk assistant', 'Kiosk owner', 'Market salesperson', 'Market vendor', 'Street seller', 'Street seller', 'Retail dealer', 'Shop director', 'Shop manager (general managers of restaurants and hotels; general managers in wholesale and retail trade; general managers in transport; storage and communications)', 'Shop manager (production and operations department managers in wholesale and retail trade; production and operations department managers in restaurants and hotels; production and operations department managers in transport; storage and communications)', 'Shop owner', 'Shop supervisor', 'Retail dealer', 'Shop director', 'Shop manager (general managers of restaurants and hotels; general managers in wholesale and retail trade; general managers in transport; storage and communications)', 'Shop manager (production and operations department managers in wholesale and retail trade; production and operations department managers in restaurants and hotels; production and operations department managers in transport; storage and communications)', 'Shop owner', 'Shop supervisor', 'Boat seller', 'Caravan seller', 'Car seller', 'Car spare parts assistant', 'Customer service assistant', 'Filling station assistant', 'Grocery assistant', 'Media seller', 'Sales assistant', 'Sales clerk', 'Salesperson (antiquities)', 'Salesperson (books; stationery)', 'Salesperson (convenience goods)', 'Salesperson (electronics/telecoms)', 'Salesperson (flowers)', 'Salesperson (furniture; household items)', ""Salesperson (grocer's)"", 'Salesperson (groceries)', 'Salesperson (machinery; building materials)', 'Salesperson (music shop)', 'Salesperson (paint shop)', 'Salesperson (pet shop)', 'Salesperson (photographic items)', 'Salesperson (ready-made clothing)', 'Salesperson (retail)', 'Salesperson (specialised trade)', 'Salesperson (sports; toys)', 'Salesperson (supermarket)', 'Salesperson (textiles; shoes; leather)', 'Salesperson (tobacco; etc.)', 'Salesperson (watches; eyeglasses; goldware)', 'Salesperson (wholesale)', 'Salesperson (wine; spirits)', 'Shop assistant', ""Shop assistant (butcher's)"", 'Shop assistant (convenience goods)', 'Shop attendant', 'Spare parts clerk', 'Spare parts salesperson', 'Spirits cashier', 'Car-park ticket seller', 'Cash desk assistant (cafeteria)', 'Cash desk assistant (restaurant)', 'Cashier', 'Cashier assistant', 'Cash office worker', 'Church cashier', 'Cinema cashier', 'Farming cashier', 'Hotel cashier', 'Information cashier (shop)', 'Office cashier', 'Public baths cashier', 'Restaurant cashier', 'Shop cashier', 'Theatre cashier', 'Ticket seller', 'Union treasurer', ""Artist's model"", 'Fashion model', 'Model', ""Photographer's model"", 'Demonstrator', 'Shop demonstrator', 'Home seller', 'Telemarketer', 'Telephone canvasser', 'Telephone communicator', 'Petrol station assistant', 'Petrol station manager', 'Service attendant', 'Caf?? assistant']"
3,23,TEACHING PROFESSIONALS,20138.892,"['231', '232', '233', '234', '235']","{'231': ['2310'], '232': ['2320'], '233': ['2330'], '234': ['2341', '2342'], '235': ['2351', '2352', '2353', '2354', '2355', '2356']}","['College teacher of artistic subjects', 'College teacher of biology; chemistry; geology', 'College teacher of computer science; system science', 'College teacher of culture; information', 'College teacher of economics; administration; social science', 'College teacher of history; philosophical subjects', 'College teacher of law; social sciences', 'College teacher of linguistic subjects', 'College teacher of mathematics; physics', 'College teacher of medical subjects', 'College teacher of music', 'College teacher of nursing subjects', 'College teacher of pedagogy', 'College teacher of psychology; social subjects', 'College teacher of technological subjects', 'Language teacher at college level', 'Music teacher at college level', 'University teacher (art and design)', 'University teacher (biology; chemistry; geology)', 'University teacher (computer science; systems science)', 'University teacher (culture; information)', 'University teacher (economics; administration; social sciences)', 'University teacher (history and philosophy)', 'University teacher (languages and linguistics)', 'University teacher (law; social sciences)', 'University teacher (mathematics; physics)', 'University teacher (medicine)', 'University teacher (music)', 'University teacher (nursing)', 'University teacher (pedagogy)', 'University teacher (psychology; social subjects)', 'University teacher (technology)', 'Automation teacher', 'Child care teacher', 'Commerce teacher', 'Craft teacher', 'Electrical engineering and telecommunications technology teacher', 'Electrical technology teacher', 'Electronics teacher', 'Forestry teacher', 'Gardening teacher', 'Handicrafts teacher', 'Healthcare teacher', 'Metal processing teacher', 'Natural resource management teacher', 'Needlework teacher', 'Photography teacher', 'Plumbing; heating and ventilation instructor', 'Power management instructor', 'Rhythmics teacher', 'Sewing teacher', 'Subject teacher (economics)', 'Teacher (adult education centre)', 'Teacher (baking and confectionery)', 'Teacher of aeronautics', 'Teacher of animation', 'Teacher of automotive technology', 'Teacher of business studies and administration', 'Teacher of butchery and meat processing', 'Teacher of car body work', 'Teacher of childcare and recreation studies', 'Teacher of construction steel sheet work', 'Teacher of construction work', 'Teacher of dancing and drama', 'Teacher of electrical installation work', 'Teacher of farming and forestry', 'Teacher of food production', 'Teacher of home and consumer economics', 'Teacher of hotel and catering studies', 'Teacher of house building and civil engineering', 'Teacher of industrial work', 'Teacher of institutional catering', 'Teacher of media science', 'Teacher of nursing', 'Teacher of operational and energy technologies', 'Teacher of ship technology', 'Teacher of sound and music', 'Teacher of technology', 'Teacher of textile and clothing technology', 'Teacher of textile craft and woodwork', 'Teacher of textile science', 'Teacher of transport-related subjects', 'Teacher of woodwork and metalwork', 'Teacher specialising in published and print media', 'Textiles teacher', 'Vocational teacher of maritime studies', 'Weaving teacher', 'Woodwork teacher', 'Classical languages teacher', 'Drawing teacher', 'Farming teacher', 'Geography teacher', 'Home economics teacher', 'Language teacher in secondary school', 'Secondary school teacher of economics', 'Secondary school teacher of history and social sciences', 'Secondary school teacher of languages', 'Secondary school teacher of mathematics and natural sciences', 'Senior secondary school teacher of economics', 'Senior secondary school teacher of history and social sciences', 'Senior secondary school teacher of languages', 'Senior secondary school teacher of mathematics and natural sciences', 'Senior secondary school teacher of technology', 'Subject teacher (history; social sciences)', 'Teacher of mathematics and natural sciences', 'Teacher of music', 'Teacher of painting techniques', 'Teacher of social sciences and behavioural science', 'Class teacher (forms 1-3)', 'Class teacher (forms 1-7)', 'Class teacher (forms 4-7)', 'Compulsory school teacher (forms 1-7)', 'Compulsory school teacher (forms 4-9)', 'Compulsory school teacher (upper forms)', 'Freinet teacher', 'Language teacher (compulsory education)', 'Middle school teacher', 'Montessori teacher', 'Primary school teacher', 'Subject teacher', 'Teacher in Waldorf school', 'Teacher specialising in work with immigrants', 'Director (after-school centre)', 'Kindergarten director', 'Montessori practitioner', 'Native language teacher (pre-primary school)', 'Playground supervisor', 'Play therapist', 'Preschool teacher', 'Recreational activities supervisor', 'Recreation studies teacher', 'Supply teacher', 'Waldorf practitioner (after-school centre)', 'Waldorf practitioner (preschool)', 'Adviser (matters of further education)', 'Audiological adviser', 'Course developer', 'Educational consultant', 'Peripatetic teacher', 'Preschool adviser', 'School adviser', 'Study instructor (education methods specialists; school inspectors)', 'Teaching aids manager', 'Training adviser', 'Remedial educator', 'Remedial teacher', 'Remedial teacher in secondary school', 'Sign language teacher', 'Specialist pedagogue in speech and language therapy', 'Special needs teacher', 'Special pedagogue for the hearing impaired', 'Special pedagogue for the visually impaired', 'Special teacher for the hearing impaired', 'Special teacher for the visually impaired', 'Special teacher in remedial school', 'Speech therapist (special education teaching associate professionals; other teaching associate professionals)', 'Teacher (hearing impaired)', 'Teacher for students with a speech or language impairment', 'Teacher for the visually-impaired', 'Teacher of the deaf', 'Voice therapist', 'Home language trainer', 'Language teacher', 'Language teacher (immigrants)', 'Certified music teacher', 'Choir leader', 'Musical trainer', 'Music educator', 'Music instructor', 'Music teacher', 'Music teacher at a music school', 'Pedagogue (singing)', 'Singing teacher', 'Art teacher', 'Dance educator', 'Drama educator', 'Drama teacher', 'Eurhythmics teacher', 'Mime teacher', 'Computer instructor', 'Computer teacher', 'Computer trainer', 'Computing teacher', 'IT teacher']"
22,91,CLEANERS AND HELPERS,19652.222,"['911', '912']","{'911': ['9111', '9112'], '912': ['9121', '9122', '9123', '9129']}","['Au pair', 'Child sitter', 'Child sitter (occasional)', 'Domestic cleaner', 'Domestic helper', 'Domestic worker', 'Housekeeper', 'Nanny', 'Aircraft cleaner', 'Attendant', 'Bar assistant', 'Breakfast assistant', 'Breakfast host/hostess', 'Cleaner (helpers and cleaners in offices; hotels and other establishments)', 'Cleaner (ship)', 'Cleaning worker', 'Hospital cleaner', 'Hotel cleaner', 'House cleaner', 'Industry cleaner', 'Laboratory dishwasher', 'Office cleaner', 'Stairs cleaner', 'Team supervisor (cleaning)', 'Dry-cleaner', 'Furniture washer', 'Ironer', 'Washer', 'Washing assistant', 'Air terminal inspector', 'Air terminal inspector', 'Railway car cleaner', 'Window cleaner', 'Carpet washer', 'Cleaner-up', 'Construction site cleaner']"
21,83,DRIVERS AND MOBILE PLANT OPERATORS,18302.284,"['831', '832', '833', '834', '835']","{'831': ['8311', '8312'], '832': ['8321', '8322'], '833': ['8331', '8332'], '834': ['8341', '8342', '8343', '8344'], '835': ['8350']}","['Engine-driving instructor', 'Industrial engine driver', 'Railcar driver', 'Railway locomotive driver', 'Shuttle train driver', 'Tramway coach driver', 'Underground train driver', 'Depot engine driver (tunnel train)', 'Radio engine driver', 'Rail guard', 'Railway car coupler', 'Railway yard operator', 'Shunter', 'Shunter driver', 'Shunting supervisor (locomotive-engine drivers)', 'Shunting supervisor (railway brakers; signallers and shunters)', 'Train dispatcher (railway yard)', 'Moped delivery driver', 'Motorcycle delivery driver', 'Car driver', 'Delivery car driver', 'Delivery van driver', 'Limousine driver', 'Passenger car driver', 'Private chauffeur', 'Taxi driver', 'Bus driver', 'Mobility service bus driver', 'Mobility service driver', 'Tram driver', 'Breakdown-lorry driver', 'Car pilot', 'Distribution van driver', 'Distributor (seller)', 'Dumper driver', 'International driver', 'International driver (lorry)', 'Longhaul driver', 'Lorry driver', 'Mobile library driver', 'Refuse lorry driver', 'Sludge lorry driver', 'Tank lorry driver', 'Timber lorry driver', 'Trailer tractor driver', 'Combine harvester driver', 'Debarker operator (forestry)', 'Forest machine operator', 'Forest tractor driver', 'Hauler driver', 'Logging machine driver', 'Machine operator (agriculture)', 'Process operator (forestry)', 'Tractor driver (farming)', 'Asphalt paver driver', 'Concrete pump operator', 'Crawler tractor driver', 'De-icer', 'De-icing machine driver', 'Dredger operator', 'Excavator operator', 'Ground work machine driver', 'Ice-making machine driver', 'Loader driver', 'Loader driver (mine)', 'Machine driver', 'Paver driver', 'Piling machine operator', 'Piste machine operator', 'Piste maker', 'Road grader driver', 'Road-roller driver', 'Roadsweeper operator', 'Street cleaning machine driver', 'Surveyor operator', 'Wheel loader driver', 'Bridge crane operator', 'Building crane operator', 'Crane operator', 'Floating crane operator', 'Lift attendant', 'Mobile crane operator', 'Overhead crane operator', 'Portal crane operator', 'Ropeway operator', 'Ski lift attendant', 'Ski lift operator', 'Telpher operator', 'Tower crane operator', 'Fork-lift truck driver', 'Stacker (timber yard)', 'Tractor driver (industry)', 'Able seaman', 'Boatswain', 'Deck hand', 'Deck hand apprentice', 'Lighthouse keeper', 'Lighthouse  supervisor', 'Ordinary seaman', 'Pump operator', 'Seaman', ""Ship's purser""]"
4,24,BUSINESS AND ADMINISTRATION PROFESSIONALS,17461.194,"['241', '242', '243']","{'241': ['2411', '2412', '2413'], '242': ['2421', '2422', '2423', '2424'], '243': ['2431', '2432', '2433', '2434']}","['Accountant', 'Accounting controller', 'Auditor', 'Budget planner', 'Business controller', 'Chief auditor', 'Corporate controller', 'Examiner (audit)', 'Financial controller', 'Internal auditor', 'Management accountant', 'Municipal auditor', 'Port accountant', 'Adviser (private economy)', 'Asset manager', 'Budget secretary', 'Financial consultant', 'Investment adviser', 'Stock market analyst', 'Financial analyst', 'Administrative developer', 'Business activity adviser', 'Business administration investigator', 'Business adviser', 'Business consultant', 'Office efficiency adviser', 'Organisational consultant', 'Organisational developer', 'Quality manager', 'Administrative developer', 'Business activity adviser', 'Business administration investigator', 'Business adviser', 'Business consultant', 'Office efficiency adviser', 'Organisational consultant', 'Organisational developer', 'Quality manager', 'Careers guidance officer', 'Employee consultant', 'Personnel administrator', 'Personnel officer', 'Recruitment officer', 'Recruitment researcher', 'School careers assistant', 'Staff assistant', 'Study adviser (personnel and careers professionals)', 'Study and careers adviser', 'Staff development officer', 'Staff education officer', 'Staff expert', 'Staff representative', 'Staff training consultant', 'Staff training manager', 'Staff training planner', 'Advertising adviser', 'Advertising assistant (Business professionals)', 'Advertising consultant', 'Advertising editor', 'Advertising inspector', 'Advertising producer', 'Advertising writer', 'Copywriter', 'Lettering artist (advertising and publicity)', 'Market analyst', 'Market communicator', 'Market consultant', 'Market coordinator', 'Market engineer', 'Marketer', 'Market investigator', 'Market planner', 'PR assistant', 'PR consultant', 'Product manager (marketing)', 'Project manager (advertising)', 'Trailer producer', 'Information assistant', 'Information consultant', 'Information expert', 'Information provider', 'Media consultant', 'Media planner', 'Press agent', 'Press secretary', 'Food adviser', 'Ideas seller', 'Sales engineer', 'Technical seller', 'Food adviser', 'Ideas seller', 'Sales engineer', 'Technical seller']"
15,53,PERSONAL CARE WORKERS,15579.958,"['531', '532']","{'531': ['5311', '5312'], '532': ['5321', '5322', '5329']}","['Childcarer', 'Childminder', 'Day-care childminder', 'Family nursery childminder', 'Peer supporter', 'Assistant (care of the learning disabled)', ""Educator's assistant"", ""Pupils' assistant"", ""Teacher's assistant"", 'Assistant nurse', 'Assistant nurse (sterilisation centre)', 'Child rehabilitation assistant', ""Children's and young people's attendant"", 'Dialysis assistant', 'Home care assistant (institution-based personal care workers)', 'Patient supervisor', 'Physiotherapy assistant', 'Respirator attendant', 'Surgical assistant', 'Therapy assistant', 'Work therapy assistant', 'Activities of daily life assistant', ""Disabled person's assistant"", ""Disabled person's nurse"", 'Home care assistant (companions; valets and home-based personal care workers)', 'Home help', 'Home help assistant', 'Home therapist', 'Personal assistant', 'Relief assistant', 'Support person', 'Autopsy assistant', 'Autopsy attendant', 'Group leader (care of the disabled)', 'Laboratory assistant (personal care and related workers)', 'Pharmacy assistant', 'Swimming pool attendant (hospital)']"
2,22,HEALTH PROFESSIONALS,14452.205,"['221', '222', '223', '224', '225', '226']","{'221': ['2211', '2212'], '222': ['2221', '2222'], '223': ['2230'], '224': ['2240'], '225': ['2250'], '226': ['2261', '2262', '2263', '2264', '2265', '2266']}","['Chief company doctor', 'Chief school doctor', 'Company doctor', 'Family doctor', 'Medical officer', 'Medical practitioner (general practitioner)', 'Panel doctor', 'Pre-registration primary care physician', 'School doctor', 'Social medical officer', 'Immunologist', 'Allergist', 'Anaesthesiology specialist', 'Anaesthetist', 'Army surgeon', 'Autopsist', 'Cancer specialist', 'Cardiologist', 'Child psychiatrist', ""Children's specialist"", 'Clinical chemistry specialist', 'Clinical cytologist', 'Clinical geneticist', 'Clinical immunologist', 'Clinical neurophysiologist', 'Clinical pathologist', 'Clinical pharmacologist', 'Clinical physiologist', 'Clinical virologist', 'Cytodiagnostician', 'Dermatologist', 'Endocrinologist', 'Epidemiologist', 'Epidemiology specialist', 'Forensic psychiatrist', 'Gastroenterologist', 'Geriatrician', 'Gynaecologist', 'Haematologist', 'Hand surgeon', 'Immunologist', 'Infectious diseases specialist', 'Internal medicine specialist', 'Medical examiner', 'Medical practitioner (child specialist)', 'Medical practitioner (clinical chemistry specialist)', 'Medical practitioner (clinical nutrition)', 'Medical practitioner (industrial health care)', 'Medical practitioner (infectious diseases)', 'Medical practitioner (internal medicine specialist)', 'Medical practitioner (nuclear medicine specialist)', 'Medical practitioner (operations specialist)', 'Medical practitioner (psychiatric specialist)', 'Medical practitioner (radiology specialist)', 'Medical practitioner (school health care)', 'Medical practitioner (skin and venereal diseases)', 'Medical practitioner (social medicine)', 'Medical practitioner (social medicine specialist )', 'Medical rehabilitation specialist', 'Nephrologist', 'Neurologist', 'Neurophysiologist', 'Neurosurgeon', 'Occupational medicine specialist', 'Oncologist', 'Ophthalmologist', 'Orthopaedist', 'Otologist', 'Paediatrician', 'Paediatric surgeon', 'Pain relief specialist', 'Pathologist', 'Plastic surgeon', 'Psychiatrist', 'Public medico-legal officer', 'Pulmonary specialist', 'Radiologist', 'Regimental surgeon', 'Rehabilitation specialist', 'Rheumatologist', 'Social medicine specialist', 'Speech therapist (medical doctors)', 'Surgeon', 'Thoracic surgeon', 'Transfusion specialist', 'Tumour specialist', 'Urologist', 'Venereologist', 'X-ray specialist', 'Charge nurse (ward/surgery)', 'Chief dental nurse', 'Chief nurse', 'Dental nurse', 'Dental nurse (prophylactic care)', 'Dental nurse (prosthetic care)', 'Group leader (nursing)', 'Head nurse (ward/surgery)', 'Home care nurse', 'Hospital dental nurse', 'Hygiene nurse', 'Laboratory nurse', 'Nurse (ambulance driver)', 'Nurse (surgery department)', 'Nursing teacher', 'Operating theatre nurse', 'Midwife', 'Midwife (delivery ward)', 'Midwife (maternity ward)', 'Midwife (primary care)', 'Acupuncturist', 'Homeopath', 'Natural therapist', 'Zone therapist', 'Acupuncturist', 'Homeopath', 'Natural therapist', 'Zone therapist', 'Animal welfare officer', 'City veterinary officer', 'Clinical veterinary surgeon', 'Epizootiologist', 'Meat inspector', 'Military veterinary officer', 'Veterinarian (border control)', 'Veterinary officer', 'Veterinary surgeon', 'Veterinary surgeon (animal hospital)', 'Veterinary surgeon (artificial insemination)', 'Veterinary Surgeon (Laboratory)', 'Chief dental officer', 'Dental officer', 'Dental specialist', 'Dentist', 'Hospital dentist', 'Orthodontist', 'Drug adviser', 'Drug inspector', 'Graduate pharmacist (pharmacy)', 'Hospital pharmacist', 'Information pharmacist', 'Pharmacist', 'Pharmacist (industry)', 'Environmental and sanitary inspector', 'Environmental auditor', 'Environmental supervisor', 'Ergonomist', 'Radiation protection engineer', 'Staff welfare adviser', 'Staff welfare officer', 'Working environment inspector', 'Adviser (motor impaired)', 'Chief physiotherapist', 'Company physiotherapist', 'Exercise teacher (motion therapy)', 'Foot therapist', 'Physiotherapist', 'Diet adviser', 'Dietary director', 'Diet economist', 'Dietitian', 'Nutrition adviser', 'Nutritionist', 'Nutrition physiologist', 'Nutrition scientist', 'Adviser (hearing impaired)', 'Audiologist', 'Audiology assistant', 'Audiometrist', 'Speech therapist (health professionals)', 'Therapist (hearing impaired)']"
6,31,SCIENCE AND ENGINEERING ASSOCIATE PROFESSIONALS,14059.942,"['311', '312', '313', '314']","{'311': ['3111', '3112', '3113', '3114', '3115'], '312': ['3121', '3122', '3123'], '313': ['3131', '3132', '3133', '3134'], '314': ['3141', '3142', '3143']}","['Geology assistant', 'Hydrology assistant', 'Instrument engineer (physics)', 'Laboratory animal technician', 'Laboratory assistant (chemistry)', 'Laboratory assistant (physics)', 'Laboratory engineer (chemistry)', 'Laboratory engineer (physics)', 'Laboratory technician (chemistry)', 'Laboratory technician (physics)', 'Materials tester (physics)', 'Measurement engineer (physics)', 'Meteorology assistant', 'Microscopist', 'Physiology laboratory assistant', 'Research laboratory assistant (chemistry)', 'Research laboratory assistant (physics)', 'Air terminal inspector', 'Assembly engineer (construction)', 'Assembly supervisor (construction)', 'Bridge engineer', 'Building consultant', 'Building designer', 'Building engineer', 'Building inspector', 'Building surveyor', 'Calculation engineer', 'City engineer', 'Civil engineer', 'Concrete engineer', 'Construction engineer', 'Control technician (construction)', 'Fire engineer', 'Fire protection engineer', 'Fire safety inspector (building and fire inspectors)', 'Ground works engineer', 'Maintenance engineer (construction)', 'Maintenance technician (construction)', 'Measurement engineer', 'Measurement supervisor', 'Measurement technician', 'Mine surveyor', 'Operations engineer (construction)', 'Operations technician (construction)', 'Performance improvement engineer (construction)', 'Performance  improvement technician (construction)', 'Planning engineer (construction)', 'Planning technician (construction)', 'Port engineer', 'Production engineer (construction)', 'Quality engineer (construction)', 'Railway engineer', 'Road engineer', 'Road surveyor', 'Road technician', 'Shelter inspector', 'Site manager', 'Structural designer', 'Structural engineer (civil engineering technicians)', 'Supervisor (civil engineering)', 'Supervisor (construction)', ""Surveyor's assistant"", 'Tonnage surveyor', 'Traffic engineer', 'Verification engineer (construction)', 'Warranty engineer (construction)', 'Air terminal inspector', 'Calculation engineer (electric power)', 'Designer (electricity)', 'Electrical designer', 'Electrical draughtsman', 'Electrical engineer', 'Electrical power technician', 'Electrical technician', 'Electrical technician; general', 'Electrical testing engineer', 'Erection engineer (electric power)', 'Inspection engineer (electricity)', 'Inspection technician (electricity)', 'Installation engineer (electrical engineering technicians)', 'Line engineer', 'Network planner', 'Operations engineer (electric power)', 'Performance improvement engineer (electricity)', 'Performance improvement technician (electric power)', 'Planning engineer (electric power)', 'Planning technician (electric power)', 'Plant engineer (electricity)', 'Production engineer (electrical power)', 'Quality engineer (electrical power)', 'Service engineer (electric power)', 'Service technician (electric power)', 'Supervisor (manufacture of electric power products)', 'Supervisor (power plant)', 'Verification engineer (electricity)', 'Assembly engineer (electronics/telecommunications)', 'Control engineer', 'Draughtsman; electronics', 'Electronic products designer', 'Inspection engineer (electronics)', 'Inspection technician (electronics)', 'Performance improvement engineer (electronics)', 'Performance improvement technician (electronics)', 'Planning engineer (electronics)', 'Planning technician (electronics)', 'Production engineer (electronics)', 'Quality engineer (electronics)', 'Service engineer (electronics)', 'Supervisor (manufacture of electronic products)', 'Verification engineer (electronics and telecommunications engineering technicians)', 'Verification engineer (electronics and telecommunications engineering technicians)', 'Army engineer', 'Assembly engineer  (mechanical engineering)', 'Automotive engineer (safety and quality inspectors)', 'Draughtsman; mechanical engineering', 'Factory engineer', 'Inspection engineer (mechanical)', 'Inspection technician (mechanical engineering)', 'Machine designer', 'Motor vehicle examiner', 'Motor vehicle inspection engineer', 'Motor vehicle inspector', 'Operations engineer (heat production plant)', 'Operations engineer (sewage treatment plant)', 'Operations engineer (water supply works)', 'Performance improvement engineer (mechanical engineering)', 'Performance improvement technician (mechanical engineering)', 'Planning engineer (mechanical engineering)', 'Planning technician (mechanical engineering)', 'Plumbing and central heating engineer', 'Production engineer (mechanical engineering)', 'Quality engineer (mechanical engineering)', 'Service engineer (mechanical engineering)', 'Service technician (mechanical engineering)', 'Shipping company inspector', 'Ship surveyor', 'Supervisor (manufacture of mechanical engineering products)', 'Technical officer', 'Vehicle engineer (safety and quality inspectors)', 'Rock drilling foreman', 'Food supervisor', 'Mouldings repair paster', 'Ski supervisor', 'Sugar boiler', 'Turner', 'Site manager (construction)', 'Boiler descaler', 'Master engineer', 'Operations engineer', 'Power plant engineer', 'Power plant operator', 'Master engineer', 'Master engineer', 'Master engineer', 'Master engineer', 'Operations technician (heat production plant)', 'Operations technician (incineration plant)', 'Operators (water works)', 'Master engineer', 'Spirits distiller (chemistry)', 'Supervisor (chemical engineering)', 'Oil distiller', 'Oil refiner', 'Process operator (petroleum)', 'Laboratory assistant (chem.lab.)', 'Laboratory assistant (life science technicians)', 'Laboratory assistant (microbiology)', 'Laboratory assistant (phys.lab.)', 'Farm inspector', 'Garden engineer', 'Garden technician', 'Certified forester', 'Parks manager (agronomy and forestry technicians)']"
